"district","category","harm","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"song","CtoC","totalcase",1906,1922,2051,1873,1907,2123,1808,1917,1991,1896,2061,2106,2210,2064,2081
"song","CtoC","death",11,16,11,9,13,7,10,14,6,6,8,14,8,5,10
"song","CtoC","injured",2978,3202,3338,2991,2958,3290,2855,2901,3011,2893,3075,3141,3257,2954,2953
"song","CarOnly","totalcase",46,57,53,90,67,84,102,85,94,91,76,105,90,53,57
"song","CarOnly","death",3,3,1,2,2,1,2,2,1,1,1,1,1,2,1
"song","CarOnly","injured",56,65,78,114,80,101,110,92,106,99,79,116,125,53,60
"gangd","total","totalcase",1479,1692,1545,1410,1423,1458,1356,1442,1494,1426,1371,1418,1414,1268,1047
"gangd","total","death",19,13,22,14,13,18,12,14,23,17,19,12,11,7,9
"gangd","total","injured",2106,2352,2130,1945,2080,2029,1942,2014,2129,1957,1873,1922,1910,1600,1413
"gangd","CtoP","totalcase",413,490,434,410,425,438,402,452,479,426,427,394,437,342,242
"gangd","CtoP","death",7,7,5,8,5,10,4,7,14,11,11,8,7,3,7
"gangd","CtoP","injured",438,505,448,440,450,443,426,467,489,430,457,406,454,352,241
"gangd","CtoC","totalcase",1036,1164,1060,967,966,970,915,963,963,959,906,978,944,890,788
"gangd","CtoC","death",7,1,15,5,7,7,4,6,7,4,8,4,4,4,2
"gangd","CtoC","injured",1627,1802,1625,1456,1593,1518,1472,1515,1583,1485,1366,1461,1420,1207,1152
"gangd","CarOnly","totalcase",30,38,51,33,32,50,39,27,52,41,38,46,33,36,17
"gangd","CarOnly","death",5,5,2,1,1,1,4,1,2,2,0,0,0,0,0
"gangd","CarOnly","injured",41,45,57,49,37,68,44,32,57,42,50,55,36,41,20
